group,intensity,exp_index,exp_id,exp_folder,node,teastore_pods_total,teastore-webui,teastore-image,teastore-db,teastore-registry,teastore-auth,teastore-recommender,teastore-persistence,k8s_pods
with-plugin,low,1,with-plugin_low_1,exp(02:19:47)_fase3_low_iter1,aspire,2,1,1,0,0,0,0,0,4
with-plugin,low,1,with-plugin_low_1,exp(02:19:47)_fase3_low_iter1,leo,1,0,0,0,0,0,1,0,3
with-plugin,low,1,with-plugin_low_1,exp(02:19:47)_fase3_low_iter1,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,1,with-plugin_low_1,exp(02:19:47)_fase3_low_iter1,scorpius,4,0,0,1,1,1,0,1,2
with-plugin,low,2,with-plugin_low_2,exp(02:26:20)_fase3_low_iter2,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,2,with-plugin_low_2,exp(02:26:20)_fase3_low_iter2,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,2,with-plugin_low_2,exp(02:26:20)_fase3_low_iter2,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,2,with-plugin_low_2,exp(02:26:20)_fase3_low_iter2,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,low,3,with-plugin_low_3,exp(02:32:56)_fase3_low_iter3,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,3,with-plugin_low_3,exp(02:32:56)_fase3_low_iter3,leo,1,0,1,0,0,0,0,0,3
with-plugin,low,3,with-plugin_low_3,exp(02:32:56)_fase3_low_iter3,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,3,with-plugin_low_3,exp(02:32:56)_fase3_low_iter3,scorpius,4,0,0,1,1,0,1,1,2
with-plugin,low,4,with-plugin_low_4,exp(02:40:08)_fase3_low_iter4,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,4,with-plugin_low_4,exp(02:40:08)_fase3_low_iter4,leo,1,1,0,0,0,0,0,0,2
with-plugin,low,4,with-plugin_low_4,exp(02:40:08)_fase3_low_iter4,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,4,with-plugin_low_4,exp(02:40:08)_fase3_low_iter4,scorpius,5,0,0,1,1,1,1,1,3
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,leo,1,0,0,0,0,0,1,0,3
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,5,with-plugin_low_5,exp(02:46:49)_fase3_low_iter5,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,leo,1,1,0,0,0,0,0,0,2
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,6,with-plugin_low_6,exp(02:53:36)_fase3_low_iter6,scorpius,5,0,0,1,1,1,1,1,3
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,aspire,2,1,0,0,0,1,0,0,4
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,leo,1,0,0,0,0,0,1,0,3
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,nitro5,0,0,0,0,0,0,0,0,7
with-plugin,low,7,with-plugin_low_7,exp(03:00:08)_fase3_low_iter7,scorpius,4,0,1,1,1,0,0,1,2
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,aspire,1,0,1,0,0,0,0,0,3
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,leo,1,0,0,0,0,0,1,0,2
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,nitro5,0,0,0,0,0,0,0,0,8
with-plugin,low,8,with-plugin_low_8,exp(03:06:30)_fase3_low_iter8,scorpius,5,1,0,1,1,1,0,1,3
with-plugin,low,9,with-plugin_low_9,exp(03:13:02)_fase3_low_iter9,aspire,2,1,0,0,0,1,0,0,4
