nodo_name,pid,name_pid
nitro5,1082897,java
nitro5,1082897,java
nitro5,1088614,java
nitro5,1088614,java
nitro5,1091,mysqld
nitro5,1201,dockerd
nitro5,1412,containerd
nitro5,1794,containerd-shim
nitro5,285127,containerd-shim
nitro5,285311,java
nitro5,285311,java
nitro5,624422,containerd-shim
nitro5,624478,coredns
nitro5,991835,containerd
nitro5,992258,containerd-shim
nitro5,992262,containerd-shim
nitro5,992292,containerd-shim
nitro5,992296,containerd-shim
nitro5,992485,kube-apiserver
nitro5,992485,kube-apiserver
nitro5,992501,kube-scheduler
nitro5,992504,kube-controller
nitro5,992701,kubelet
nitro5,992803,containerd-shim
nitro5,992850,kube-proxy
nitro5,992850,kube-proxy
nitro5,993587,containerd-shim
nitro5,994168,calico-node
nitro5,994169,calico-node
nitro5,994170,calico-node
nitro5,994173,calico-node
nitro5,994174,calico-node
nitro5,994175,calico-node
nitro5,994608,bird6
nitro5,994609,bird
nitro5,994817,containerd-shim
nitro5,994869,kube-controller
aspire,1443,dockerd
aspire,5336,containerd
aspire,5622,kubelet
aspire,5674,containerd-shim
aspire,5676,containerd-shim
aspire,5792,kube-proxy
aspire,5792,kube-proxy
aspire,6326,calico-node
aspire,6327,calico-node
aspire,6328,calico-node
aspire,6329,calico-node
aspire,6331,calico-node
aspire,6332,calico-node
aspire,6518,bird6
aspire,6519,bird
aspire,7370,containerd-shim
aspire,7435,kube-scheduler
aspire,99530,containerd-shim
aspire,99640,java
aspire,99640,java
scorpius,2562,containerd
scorpius,2810,kubelet
scorpius,2859,containerd-shim
scorpius,2860,containerd-shim
scorpius,2964,kube-proxy
scorpius,2964,kube-proxy
scorpius,3408,calico-node
scorpius,3409,calico-node
scorpius,3410,calico-node
scorpius,3411,calico-node
scorpius,3412,calico-node
scorpius,3413,calico-node
scorpius,3636,bird6
scorpius,3637,bird
scorpius,529030,containerd-shim
scorpius,529093,mysqld
scorpius,529135,containerd-shim
scorpius,529244,containerd-shim
scorpius,529315,java
scorpius,529315,java
scorpius,529419,containerd-shim
scorpius,529455,java
scorpius,529455,java
scorpius,529629,java
scorpius,529629,java
scorpius,529634,containerd-shim
scorpius,530221,java
scorpius,530221,java
scorpius,545041,containerd-shim
scorpius,545093,coredns
leo02,4002,containerd
leo02,4036982,containerd-shim
leo02,4037081,java
leo02,4037081,java
leo02,4149,kubelet
leo02,4236,containerd-shim
leo02,4237,containerd-shim
leo02,4344,kube-proxy
leo02,4344,kube-proxy
leo02,4810,calico-node
leo02,4811,calico-node
leo02,4813,calico-node
leo02,4814,calico-node
leo02,4816,calico-node
leo02,4817,calico-node
leo02,5017,bird
leo02,5018,bird6
