nodo_name,pid,name_pid
nitro5,1028,mysqld
nitro5,12204,java
nitro5,12204,java
nitro5,1385,dockerd
nitro5,1459,containerd
nitro5,1849,containerd-shim
nitro5,23945,containerd
nitro5,24245,containerd-shim
nitro5,24273,containerd-shim
nitro5,24308,containerd-shim
nitro5,24315,containerd-shim
nitro5,24498,kube-apiserver
nitro5,24498,kube-apiserver
nitro5,24500,kube-controller
nitro5,24507,kube-scheduler
nitro5,24781,kubelet
nitro5,24935,containerd-shim
nitro5,24989,kube-proxy
nitro5,24989,kube-proxy
nitro5,28023,containerd-shim
nitro5,29122,calico-node
nitro5,29123,calico-node
nitro5,29124,calico-node
nitro5,29126,calico-node
nitro5,29127,calico-node
nitro5,29128,calico-node
nitro5,29401,bird6
nitro5,29402,bird
nitro5,29961,containerd-shim
nitro5,30020,kube-controller
nitro5,3556306,containerd-shim
nitro5,3556376,coredns
nitro5,45260,java
nitro5,45260,java
aspire,1532,dockerd
aspire,2204112,containerd
aspire,2204820,kubelet
aspire,2204862,containerd-shim
aspire,2204890,containerd-shim
aspire,2204963,kube-proxy
aspire,2204963,kube-proxy
aspire,2205450,calico-node
aspire,2205451,calico-node
aspire,2205452,calico-node
aspire,2205453,calico-node
aspire,2205456,calico-node
aspire,2205457,calico-node
aspire,2205632,bird
aspire,2205633,bird6
aspire,2680580,containerd-shim
aspire,2680636,containerd-shim
aspire,2681183,containerd-shim
aspire,2681301,containerd-shim
aspire,2681900,mysqld
aspire,2684154,java
aspire,2684154,java
aspire,2686320,java
aspire,2686320,java
aspire,2687720,java
aspire,2687720,java
scorpius,2991,containerd
scorpius,4125866,containerd-shim
scorpius,4125921,containerd-shim
scorpius,4126848,java
scorpius,4126848,java
scorpius,4127029,java
scorpius,4127029,java
scorpius,4147403,containerd-shim
scorpius,4147462,coredns
scorpius,4849,kubelet
scorpius,4895,containerd-shim
scorpius,4896,containerd-shim
scorpius,5003,kube-proxy
scorpius,5003,kube-proxy
scorpius,5506,calico-node
scorpius,5507,calico-node
scorpius,5508,calico-node
scorpius,5509,calico-node
scorpius,5511,calico-node
scorpius,5512,calico-node
scorpius,5685,bird6
scorpius,5686,bird
leo02,2544,containerd
leo02,3730,kubelet
leo02,3776,containerd-shim
leo02,3777,containerd-shim
leo02,3885,kube-proxy
leo02,3885,kube-proxy
leo02,4107293,containerd-shim
leo02,4108222,java
leo02,4108222,java
leo02,4330,calico-node
leo02,4332,calico-node
leo02,4334,calico-node
leo02,4335,calico-node
leo02,4336,calico-node
leo02,4337,calico-node
leo02,4512,bird
leo02,4513,bird6
