nodo,containerid,containername,pid,ppid,cmd
nodo,containerid,containername,pid,ppid,cmd
luish-Nitro-AN515-57,b00e9320406cc4614e6fa6b36e06f985ea0c7d81a5ca399e1eb6b912fe1fade7,,23057,22981,"23057   22981 /usr/bin/kube-controllers"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22417,21891,"22417   21891 /usr/local/bin/runsvdir -P /etc/service/enabled"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22520,22417,"22520   22417 runsv cni"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22521,22417,"22521   22417 runsv confd"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22522,22417,"22522   22417 runsv bird6"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22523,22417,"22523   22417 runsv felix"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22524,22417,"22524   22417 runsv monitor-addresses"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22525,22417,"22525   22417 runsv bird"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22526,22417,"22526   22417 runsv allocate-tunnel-addrs"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22527,22417,"22527   22417 runsv node-status-reporter"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22528,22524,"22528   22524 calico-node -monitor-addresses"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22530,22523,"22530   22523 calico-node -felix"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22531,22521,"22531   22521 calico-node -confd"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22532,22527,"22532   22527 calico-node -status-reporter"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22535,22526,"22535   22526 calico-node -allocate-tunnel-addrs"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22534,22520,"22534   22520 calico-node -monitor-token"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22778,22522,"22778   22522 bird6 -R -s /var/run/calico/bird6.ctl -d -c /etc/calico/confd/config/bird6.cfg"
luish-Nitro-AN515-57,4d82de8ce40650e763aceee700c6de68038443ddfa7e5732404aa4de75f1c956,,22779,22525,"22779   22525 bird -R -s /var/run/calico/bird.ctl -d -c /etc/calico/confd/config/bird.cfg"
luish-Nitro-AN515-57,af1cf7ca670aa0084eb4ebb2dc183ad92e4713f75e887f237b7f93f54e954b5e,,21505,21451,"21505   21451 /usr/local/bin/kube-proxy --config=/var/lib/kube-proxy/config.conf --hostname-override=luish-nitro-an515-57"
luish-Nitro-AN515-57,a3f97d6c1aa96a103bc2bc6d0c4214687b9878b3a7a4c09cbcea440b9d49116f,,21157,20928,"21157   20928 kube-controller-manager --authentication-kubeconfig=/etc/kubernetes/controller-manager.conf --authorization-kubeconfig=/etc/kubernetes/controller-manager.conf --bind-address=127.0.0.1 --client-ca-file=/etc/kubernetes/pki/ca.crt --cluster-name=kubernetes --cluster-signing-cert-file=/etc/kubernetes/pki/ca.crt --cluster-signing-key-file=/etc/kubernetes/pki/ca.key --controllers=*,bootstrapsigner,tokencleaner --kubeconfig=/etc/kubernetes/controller-manager.conf --leader-elect=true --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --root-ca-file=/etc/kubernetes/pki/ca.crt --service-account-private-key-file=/etc/kubernetes/pki/sa.key --use-service-account-credentials=true"
luish-Nitro-AN515-57,52f4df8e288a30477f11cf60ee2c8a37587aab0853584d46b87990e3d340d482,,21154,20923,"21154   20923 kube-apiserver --advertise-address=192.168.18.27 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-file=/etc/kubernetes/pki/ca.crt --enable-admission-plugins=NodeRestriction --enable-bootstrap-token-auth=true --etcd-cafile=/etc/kubernetes/pki/etcd/ca.crt --etcd-certfile=/etc/kubernetes/pki/apiserver-etcd-client.crt --etcd-keyfile=/etc/kubernetes/pki/apiserver-etcd-client.key --etcd-servers=https://127.0.0.1:2379 --kubelet-client-certificate=/etc/kubernetes/pki/apiserver-kubelet-client.crt --kubelet-client-key=/etc/kubernetes/pki/apiserver-kubelet-client.key --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname --proxy-client-cert-file=/etc/kubernetes/pki/front-proxy-client.crt --proxy-client-key-file=/etc/kubernetes/pki/front-proxy-client.key --requestheader-allowed-names=front-proxy-client --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --requestheader-extra-headers-prefix=X-Remote-Extra- --requestheader-group-headers=X-Remote-Group --requestheader-username-headers=X-Remote-User --secure-port=6443 --service-account-issuer=https://kubernetes.default.svc.cluster.local --service-account-key-file=/etc/kubernetes/pki/sa.pub --service-account-signing-key-file=/etc/kubernetes/pki/sa.key --service-cluster-ip-range=10.96.0.0/12 --tls-cert-file=/etc/kubernetes/pki/apiserver.crt --tls-private-key-file=/etc/kubernetes/pki/apiserver.key"
luish-Nitro-AN515-57,cc716af3a75232cd363376ce21225e8b40369bb566d5454df954dc6529815832,,21166,20926,"21166   20926 etcd --advertise-client-urls=https://192.168.18.27:2379 --cert-file=/etc/kubernetes/pki/etcd/server.crt --client-cert-auth=true --data-dir=/var/lib/etcd --experimental-initial-corrupt-check=true --experimental-watch-progress-notify-interval=5s --initial-advertise-peer-urls=https://192.168.18.27:2380 --initial-cluster=luish-nitro-an515-57=https://192.168.18.27:2380 --key-file=/etc/kubernetes/pki/etcd/server.key --listen-client-urls=https://127.0.0.1:2379,https://192.168.18.27:2379 --listen-metrics-urls=http://127.0.0.1:2381 --listen-peer-urls=https://192.168.18.27:2380 --name=luish-nitro-an515-57 --peer-cert-file=/etc/kubernetes/pki/etcd/peer.crt --peer-client-cert-auth=true --peer-key-file=/etc/kubernetes/pki/etcd/peer.key --peer-trusted-ca-file=/etc/kubernetes/pki/etcd/ca.crt --snapshot-count=10000 --trusted-ca-file=/etc/kubernetes/pki/etcd/ca.crt"
luish-Nitro-AN515-57,b16fccbb86763acdd133f8d8354d53304a7cf3d064ca09c4b607b8716df35e10,,21146,20924,"21146   20924 kube-scheduler --authentication-kubeconfig=/etc/kubernetes/scheduler.conf --authorization-kubeconfig=/etc/kubernetes/scheduler.conf --bind-address=127.0.0.1 --kubeconfig=/etc/kubernetes/scheduler.conf --leader-elect=true"
luish-Aspire-A315-55G,fa9ff44ad5769475c8cd85d1117c94c6ca8f49342d3ebaea567bc0002294b480,,1982589,1978766,"/bin/sh -c java -jar /usr/local/tomcat/bin/dockermemoryconfigurator.jar ${TOMCAT_HEAP_MEM_PERCENTAGE}; /usr/local/tomcat/bin/start.sh && /usr/local/tomcat/bin/catalina.sh run"
