0 s: 0.058308W, 0.116616J, total=0.116616J
5 s: 0.333390W, 0.666780J, total=0.783396J
9 s: 0.989834W, 1.979668J, total=2.763064J
15 s: 0.449226W, 0.898452J, total=3.661516J
20 s: 0.270652W, 0.541304J, total=4.202820J
30 s: 0.138794W, 0.277588J, total=4.480408J
36 s: 0.086956W, 0.173912J, total=4.654320J
42 s: 0.080813W, 0.161626J, total=4.815946J
49 s: 0.133632W, 0.267264J, total=5.083210J
53 s: 0.212671W, 0.425342J, total=5.508552J
57 s: 1.039710W, 2.079420J, total=7.587972J
67 s: 0.329931W, 0.659862J, total=8.247834J
77 s: 0.189990W, 0.379980J, total=8.627814J
82 s: 0.109473W, 0.218946J, total=8.846760J
85 s: 0.481437W, 0.962874J, total=9.809634J
89 s: 0.283000W, 0.566000J, total=10.375634J
93 s: 0.898557W, 1.797114J, total=12.172748J
105 s: 0.260535W, 0.521070J, total=12.693818J
109 s: 0.174413W, 0.348826J, total=13.042644J
116 s: 0.179040W, 0.358080J, total=13.400724J
123 s: 0.494097W, 0.988194J, total=14.388918J
128 s: 0.590513W, 1.181026J, total=15.569944J
133 s: 0.202856W, 0.405712J, total=15.975656J
Total Energy: 15.975656 J
