0 s: 0.066094W, 0.132188J, total=0.132188J
5 s: 0.408673W, 0.817346J, total=0.949534J
12 s: 0.354522W, 0.709044J, total=1.658578J
17 s: 0.228542W, 0.457084J, total=2.115662J
24 s: 0.196148W, 0.392296J, total=2.507958J
31 s: 0.124857W, 0.249714J, total=2.757672J
36 s: 0.106879W, 0.213758J, total=2.971430J
39 s: 0.183466W, 0.366932J, total=3.338362J
47 s: 0.220505W, 0.441010J, total=3.779372J
51 s: 0.142502W, 0.285004J, total=4.064376J
56 s: 0.185582W, 0.371164J, total=4.435540J
72 s: 0.144160W, 0.288320J, total=4.723860J
79 s: 0.124820W, 0.249640J, total=4.973500J
82 s: 0.098551W, 0.197102J, total=5.170602J
87 s: 0.148139W, 0.296278J, total=5.466880J
93 s: 0.280001W, 0.560002J, total=6.026882J
96 s: 0.290751W, 0.581502J, total=6.608384J
106 s: 0.188967W, 0.377934J, total=6.986318J
113 s: 0.114604W, 0.229208J, total=7.215526J
117 s: 0.169999W, 0.339998J, total=7.555524J
120 s: 0.218638W, 0.437276J, total=7.992800J
123 s: 0.279887W, 0.559774J, total=8.552574J
128 s: 0.429897W, 0.859794J, total=9.412368J
137 s: 0.441192W, 0.882384J, total=10.294752J
Total Energy: 10.294752 J
