0 s: 0.038443W, 0.076886J, total=0.076886J
2 s: 0.109594W, 0.219188J, total=0.296074J
5 s: 0.160622W, 0.321244J, total=0.617318J
8 s: 0.117717W, 0.235434J, total=0.852752J
10 s: 0.152129W, 0.304258J, total=1.157010J
13 s: 0.142750W, 0.285500J, total=1.442510J
16 s: 0.130114W, 0.260228J, total=1.702738J
18 s: 0.156155W, 0.312310J, total=2.015048J
21 s: 0.137002W, 0.274004J, total=2.289052J
23 s: 0.133342W, 0.266684J, total=2.555736J
26 s: 0.143272W, 0.286544J, total=2.842280J
29 s: 0.216277W, 0.432554J, total=3.274834J
31 s: 0.089345W, 0.178690J, total=3.453524J
34 s: 0.124842W, 0.249684J, total=3.703208J
37 s: 0.135893W, 0.271786J, total=3.974994J
40 s: 0.148561W, 0.297122J, total=4.272116J
42 s: 0.112725W, 0.225450J, total=4.497566J
45 s: 0.138483W, 0.276966J, total=4.774532J
48 s: 0.158496W, 0.316992J, total=5.091524J
50 s: 0.137629W, 0.275258J, total=5.366782J
53 s: 0.113126W, 0.226252J, total=5.593034J
56 s: 0.105120W, 0.210240J, total=5.803274J
59 s: 0.153058W, 0.306116J, total=6.109390J
61 s: 0.114165W, 0.228330J, total=6.337720J
64 s: 0.097143W, 0.194286J, total=6.532006J
66 s: 0.144870W, 0.289740J, total=6.821746J
69 s: 0.142574W, 0.285148J, total=7.106894J
71 s: 0.128473W, 0.256946J, total=7.363840J
74 s: 0.199050W, 0.398100J, total=7.761940J
76 s: 0.113190W, 0.226380J, total=7.988320J
79 s: 0.146538W, 0.293076J, total=8.281396J
82 s: 0.123859W, 0.247718J, total=8.529114J
84 s: 0.131588W, 0.263176J, total=8.792290J
87 s: 0.096310W, 0.192620J, total=8.984910J
90 s: 0.172063W, 0.344126J, total=9.329036J
92 s: 0.095224W, 0.190448J, total=9.519484J
95 s: 0.105048W, 0.210096J, total=9.729580J
98 s: 0.129824W, 0.259648J, total=9.989228J
100 s: 0.142500W, 0.285000J, total=10.274228J
103 s: 0.219673W, 0.439346J, total=10.713574J
106 s: 0.132574W, 0.265148J, total=10.978722J
108 s: 0.165572W, 0.331144J, total=11.309866J
111 s: 0.110872W, 0.221744J, total=11.531610J
114 s: 0.297338W, 0.594676J, total=12.126286J
117 s: 0.125777W, 0.251554J, total=12.377840J
119 s: 0.198719W, 0.397438J, total=12.775278J
122 s: 0.109433W, 0.218866J, total=12.994144J
125 s: 0.111153W, 0.222306J, total=13.216450J
127 s: 0.142750W, 0.285500J, total=13.501950J
130 s: 0.177732W, 0.355464J, total=13.857414J
133 s: 0.138549W, 0.277098J, total=14.134512J
135 s: 0.102715W, 0.205430J, total=14.339942J
138 s: 0.129634W, 0.259268J, total=14.599210J
Total Energy: 14.599210 J
