0 s: 0.036381W, 0.072762J, total=0.072762J
2 s: 0.048702W, 0.097404J, total=0.170166J
5 s: 0.046344W, 0.092688J, total=0.262854J
7 s: 0.049665W, 0.099330J, total=0.362184J
9 s: 0.063173W, 0.126346J, total=0.488530J
12 s: 0.075023W, 0.150046J, total=0.638576J
14 s: 0.061941W, 0.123882J, total=0.762458J
16 s: 0.063859W, 0.127718J, total=0.890176J
19 s: 0.043124W, 0.086248J, total=0.976424J
21 s: 0.061021W, 0.122042J, total=1.098466J
23 s: 0.080578W, 0.161156J, total=1.259622J
26 s: 0.048199W, 0.096398J, total=1.356020J
28 s: 0.051667W, 0.103334J, total=1.459354J
30 s: 0.050924W, 0.101848J, total=1.561202J
33 s: 0.066292W, 0.132584J, total=1.693786J
35 s: 0.053438W, 0.106876J, total=1.800662J
37 s: 0.041621W, 0.083242J, total=1.883904J
40 s: 0.044325W, 0.088650J, total=1.972554J
42 s: 0.064841W, 0.129682J, total=2.102236J
44 s: 0.050718W, 0.101436J, total=2.203672J
47 s: 0.058883W, 0.117766J, total=2.321438J
49 s: 0.042100W, 0.084200J, total=2.405638J
51 s: 0.057411W, 0.114822J, total=2.520460J
54 s: 0.062955W, 0.125910J, total=2.646370J
56 s: 0.049765W, 0.099530J, total=2.745900J
58 s: 0.050853W, 0.101706J, total=2.847606J
61 s: 0.052740W, 0.105480J, total=2.953086J
63 s: 0.064904W, 0.129808J, total=3.082894J
65 s: 0.047540W, 0.095080J, total=3.177974J
68 s: 0.042454W, 0.084908J, total=3.262882J
70 s: 0.055226W, 0.110452J, total=3.373334J
73 s: 0.057947W, 0.115894J, total=3.489228J
75 s: 0.051689W, 0.103378J, total=3.592606J
77 s: 0.052524W, 0.105048J, total=3.697654J
80 s: 0.056703W, 0.113406J, total=3.811060J
82 s: 0.094630W, 0.189260J, total=4.000320J
84 s: 0.048556W, 0.097112J, total=4.097432J
87 s: 0.052432W, 0.104864J, total=4.202296J
89 s: 0.043122W, 0.086244J, total=4.288540J
91 s: 0.063443W, 0.126886J, total=4.415426J
94 s: 0.060483W, 0.120966J, total=4.536392J
96 s: 0.128771W, 0.257542J, total=4.793934J
98 s: 0.072040W, 0.144080J, total=4.938014J
101 s: 0.045230W, 0.090460J, total=5.028474J
103 s: 0.059465W, 0.118930J, total=5.147404J
105 s: 0.036149W, 0.072298J, total=5.219702J
108 s: 0.057809W, 0.115618J, total=5.335320J
110 s: 0.048593W, 0.097186J, total=5.432506J
112 s: 0.068747W, 0.137494J, total=5.570000J
115 s: 0.046157W, 0.092314J, total=5.662314J
117 s: 0.035923W, 0.071846J, total=5.734160J
119 s: 0.063687W, 0.127374J, total=5.861534J
122 s: 0.041143W, 0.082286J, total=5.943820J
124 s: 0.047029W, 0.094058J, total=6.037878J
126 s: 0.048114W, 0.096228J, total=6.134106J
129 s: 0.044358W, 0.088716J, total=6.222822J
131 s: 0.046201W, 0.092402J, total=6.315224J
133 s: 0.060788W, 0.121576J, total=6.436800J
136 s: 0.037801W, 0.075602J, total=6.512402J
138 s: 0.045332W, 0.090664J, total=6.603066J
Total Energy: 6.603066 J
