0 s: 0.039509W, 0.079018J, total=0.079018J
3 s: 0.039293W, 0.078586J, total=0.157604J
5 s: 0.039238W, 0.078476J, total=0.236080J
8 s: 0.000000W, 0.000000J, total=0.236080J
10 s: 0.037606W, 0.075212J, total=0.311292J
12 s: 0.032500W, 0.065000J, total=0.376292J
15 s: 0.030828W, 0.061656J, total=0.437948J
17 s: 0.039986W, 0.079972J, total=0.517920J
20 s: 0.175716W, 0.351432J, total=0.869352J
22 s: 0.048540W, 0.097080J, total=0.966432J
24 s: 0.047563W, 0.095126J, total=1.061558J
27 s: 0.087716W, 0.175432J, total=1.236990J
29 s: 0.028841W, 0.057682J, total=1.294672J
31 s: 0.045289W, 0.090578J, total=1.385250J
34 s: 0.025438W, 0.050876J, total=1.436126J
36 s: 0.031367W, 0.062734J, total=1.498860J
38 s: 0.032939W, 0.065878J, total=1.564738J
41 s: 0.031484W, 0.062968J, total=1.627706J
43 s: 0.029399W, 0.058798J, total=1.686504J
45 s: 0.035472W, 0.070944J, total=1.757448J
48 s: 0.038285W, 0.076570J, total=1.834018J
50 s: 0.144851W, 0.289702J, total=2.123720J
52 s: 0.042714W, 0.085428J, total=2.209148J
55 s: 0.025958W, 0.051916J, total=2.261064J
57 s: 0.039390W, 0.078780J, total=2.339844J
60 s: 0.050317W, 0.100634J, total=2.440478J
62 s: 0.048474W, 0.096948J, total=2.537426J
64 s: 0.044482W, 0.088964J, total=2.626390J
67 s: 0.033671W, 0.067342J, total=2.693732J
69 s: 0.027195W, 0.054390J, total=2.748122J
71 s: 0.026992W, 0.053984J, total=2.802106J
74 s: 0.051272W, 0.102544J, total=2.904650J
76 s: 0.030259W, 0.060518J, total=2.965168J
78 s: 0.025448W, 0.050896J, total=3.016064J
81 s: 0.031510W, 0.063020J, total=3.079084J
83 s: 0.034893W, 0.069786J, total=3.148870J
85 s: 0.032358W, 0.064716J, total=3.213586J
88 s: 0.053693W, 0.107386J, total=3.320972J
90 s: 0.051454W, 0.102908J, total=3.423880J
92 s: 0.038843W, 0.077686J, total=3.501566J
95 s: 0.033666W, 0.067332J, total=3.568898J
97 s: 0.042299W, 0.084598J, total=3.653496J
100 s: 0.033098W, 0.066196J, total=3.719692J
102 s: 0.028789W, 0.057578J, total=3.777270J
104 s: 0.042796W, 0.085592J, total=3.862862J
107 s: 0.049695W, 0.099390J, total=3.962252J
109 s: 0.034826W, 0.069652J, total=4.031904J
111 s: 0.038109W, 0.076218J, total=4.108122J
114 s: 0.037327W, 0.074654J, total=4.182776J
116 s: 0.034454W, 0.068908J, total=4.251684J
118 s: 0.036455W, 0.072910J, total=4.324594J
121 s: 0.030628W, 0.061256J, total=4.385850J
123 s: 0.026288W, 0.052576J, total=4.438426J
125 s: 0.035466W, 0.070932J, total=4.509358J
128 s: 0.073431W, 0.146862J, total=4.656220J
130 s: 0.036304W, 0.072608J, total=4.728828J
133 s: 0.033162W, 0.066324J, total=4.795152J
135 s: 0.031583W, 0.063166J, total=4.858318J
137 s: 0.033508W, 0.067016J, total=4.925334J
Total Energy: 4.925334 J
