0 s: 0.026052W, 0.052104J, total=0.052104J
3 s: 0.028758W, 0.057516J, total=0.109620J
6 s: 0.017210W, 0.034420J, total=0.144040J
9 s: 0.026962W, 0.053924J, total=0.197964J
13 s: 0.036732W, 0.073464J, total=0.271428J
19 s: 0.025084W, 0.050168J, total=0.321596J
30 s: 0.032586W, 0.065172J, total=0.386768J
71 s: 0.028605W, 0.057210J, total=0.443978J
79 s: 0.027788W, 0.055576J, total=0.499554J
114 s: 0.024812W, 0.049624J, total=0.549178J
128 s: 0.027247W, 0.054494J, total=0.603672J
Total Energy: 0.603672 J
