0 s: 0.036451W, 0.072902J, total=0.072902J
2 s: 0.068748W, 0.137496J, total=0.210398J
5 s: 0.046326W, 0.092652J, total=0.303050J
7 s: 0.044846W, 0.089692J, total=0.392742J
9 s: 0.048750W, 0.097500J, total=0.490242J
12 s: 0.051118W, 0.102236J, total=0.592478J
14 s: 0.029425W, 0.058850J, total=0.651328J
16 s: 0.031376W, 0.062752J, total=0.714080J
19 s: 0.052208W, 0.104416J, total=0.818496J
21 s: 0.035540W, 0.071080J, total=0.889576J
23 s: 0.044424W, 0.088848J, total=0.978424J
26 s: 0.039599W, 0.079198J, total=1.057622J
28 s: 0.040871W, 0.081742J, total=1.139364J
31 s: 0.051456W, 0.102912J, total=1.242276J
33 s: 0.048007W, 0.096014J, total=1.338290J
35 s: 0.030135W, 0.060270J, total=1.398560J
38 s: 0.047770W, 0.095540J, total=1.494100J
40 s: 0.040091W, 0.080182J, total=1.574282J
42 s: 0.043551W, 0.087102J, total=1.661384J
45 s: 0.036370W, 0.072740J, total=1.734124J
47 s: 0.039190W, 0.078380J, total=1.812504J
49 s: 0.057911W, 0.115822J, total=1.928326J
52 s: 0.047919W, 0.095838J, total=2.024164J
54 s: 0.036695W, 0.073390J, total=2.097554J
56 s: 0.030366W, 0.060732J, total=2.158286J
59 s: 0.046408W, 0.092816J, total=2.251102J
61 s: 0.043781W, 0.087562J, total=2.338664J
64 s: 0.043608W, 0.087216J, total=2.425880J
66 s: 0.034234W, 0.068468J, total=2.494348J
68 s: 0.043106W, 0.086212J, total=2.580560J
71 s: 0.049885W, 0.099770J, total=2.680330J
73 s: 0.031838W, 0.063676J, total=2.744006J
75 s: 0.047880W, 0.095760J, total=2.839766J
78 s: 0.080532W, 0.161064J, total=3.000830J
80 s: 0.050273W, 0.100546J, total=3.101376J
82 s: 0.043103W, 0.086206J, total=3.187582J
85 s: 0.035372W, 0.070744J, total=3.258326J
87 s: 0.100644W, 0.201288J, total=3.459614J
89 s: 0.064367W, 0.128734J, total=3.588348J
92 s: 0.032268W, 0.064536J, total=3.652884J
94 s: 0.042089W, 0.084178J, total=3.737062J
97 s: 0.051206W, 0.102412J, total=3.839474J
99 s: 0.037646W, 0.075292J, total=3.914766J
101 s: 0.042410W, 0.084820J, total=3.999586J
104 s: 0.035770W, 0.071540J, total=4.071126J
106 s: 0.046470W, 0.092940J, total=4.164066J
108 s: 0.041734W, 0.083468J, total=4.247534J
111 s: 0.052344W, 0.104688J, total=4.352222J
113 s: 0.079311W, 0.158622J, total=4.510844J
115 s: 0.069517W, 0.139034J, total=4.649878J
118 s: 0.045388W, 0.090776J, total=4.740654J
120 s: 0.038184W, 0.076368J, total=4.817022J
123 s: 0.049098W, 0.098196J, total=4.915218J
125 s: 0.039187W, 0.078374J, total=4.993592J
127 s: 0.035531W, 0.071062J, total=5.064654J
130 s: 0.043504W, 0.087008J, total=5.151662J
132 s: 0.038060W, 0.076120J, total=5.227782J
134 s: 0.033563W, 0.067126J, total=5.294908J
137 s: 0.032667W, 0.065334J, total=5.360242J
139 s: 0.030860W, 0.061720J, total=5.421962J
Total Energy: 5.421962 J
