0 s: 0.000000W, 0.000000J, total=0.000000J
6 s: 0.244754W, 0.489508J, total=0.489508J
13 s: 0.337280W, 0.674560J, total=1.164068J
21 s: 0.332977W, 0.665954J, total=1.830022J
30 s: 0.180971W, 0.361942J, total=2.191964J
51 s: 0.182907W, 0.365814J, total=2.557778J
62 s: 0.196926W, 0.393852J, total=2.951630J
72 s: 0.242103W, 0.484206J, total=3.435836J
92 s: 0.196654W, 0.393308J, total=3.829144J
120 s: 0.292684W, 0.585368J, total=4.414512J
128 s: 0.174814W, 0.349628J, total=4.764140J
Total Energy: 4.764140 J
