nodo_name,pid,name_pid
nitro5,1050,mysqld
nitro5,4539,dockerd
nitro5,5160,containerd
nitro5,5672,containerd-shim
nitro5,400089,containerd
nitro5,400653,containerd-shim
nitro5,400654,containerd-shim
nitro5,400657,containerd-shim
nitro5,400658,containerd-shim
nitro5,400878,kube-apiserver
nitro5,400887,kube-scheduler
nitro5,400896,kube-controller
nitro5,401067,kubelet
nitro5,401138,containerd-shim
nitro5,401194,kube-proxy
nitro5,403310,containerd-shim
nitro5,403798,calico-node
nitro5,403800,calico-node
nitro5,403801,calico-node
nitro5,403802,calico-node
nitro5,403804,calico-node
nitro5,403805,calico-node
nitro5,404101,bird6
nitro5,404102,bird
nitro5,405483,containerd-shim
nitro5,406091,kube-controller
nitro5,2426108,java
aspire,1493,dockerd
aspire,8072,containerd
aspire,8572,kubelet
aspire,8631,containerd-shim
aspire,8632,containerd-shim
aspire,8760,kube-proxy
aspire,9284,calico-node
aspire,9285,calico-node
aspire,9286,calico-node
aspire,9287,calico-node
aspire,9290,calico-node
aspire,9291,calico-node
aspire,9378,bird6
aspire,9379,bird
aspire,710004,containerd-shim
aspire,710053,containerd-shim
aspire,710131,containerd-shim
aspire,710162,containerd-shim
aspire,710282,java
aspire,710415,java
aspire,710564,java
aspire,710680,java
scorpius,5488,containerd
scorpius,6051,kubelet
scorpius,6227,containerd-shim
scorpius,6228,containerd-shim
scorpius,6332,kube-proxy
scorpius,6841,calico-node
scorpius,6842,calico-node
scorpius,6843,calico-node
scorpius,6844,calico-node
scorpius,6845,calico-node
scorpius,6846,calico-node
scorpius,7020,bird
scorpius,7021,bird6
scorpius,812814,containerd-shim
scorpius,812871,containerd-shim
scorpius,812926,mysqld
scorpius,813093,java
scorpius,813352,containerd-shim
scorpius,813410,coredns
leo02,12895,containerd
leo02,13029,kubelet
leo02,13075,containerd-shim
leo02,13083,containerd-shim
leo02,13189,kube-proxy
leo02,13592,calico-node
leo02,13594,calico-node
leo02,13595,calico-node
leo02,13596,calico-node
leo02,13597,calico-node
leo02,13599,calico-node
leo02,13768,bird
leo02,13769,bird6
leo02,742580,containerd-shim
leo02,742680,java
leo02,742903,containerd-shim
leo02,742957,coredns
