0 s: 0.066057W, 0.132114J, total=0.132114J
3 s: 0.184600W, 0.369200J, total=0.501314J
5 s: 0.260534W, 0.521068J, total=1.022382J
7 s: 0.273563W, 0.547126J, total=1.569508J
9 s: 0.277962W, 0.555924J, total=2.125432J
12 s: 0.570627W, 1.141254J, total=3.266686J
14 s: 0.314548W, 0.629096J, total=3.895782J
16 s: 0.372498W, 0.744996J, total=4.640778J
18 s: 0.313964W, 0.627928J, total=5.268706J
20 s: 0.329116W, 0.658232J, total=5.926938J
22 s: 0.324850W, 0.649700J, total=6.576638J
25 s: 0.456747W, 0.913494J, total=7.490132J
27 s: 0.900410W, 1.800820J, total=9.290952J
29 s: 0.830881W, 1.661762J, total=10.952714J
31 s: 0.413583W, 0.827166J, total=11.779880J
34 s: 0.394544W, 0.789088J, total=12.568968J
36 s: 0.430012W, 0.860024J, total=13.428992J
38 s: 1.197710W, 2.395420J, total=15.824412J
40 s: 0.321197W, 0.642394J, total=16.466806J
42 s: 0.334634W, 0.669268J, total=17.136074J
45 s: 0.514420W, 1.028840J, total=18.164914J
47 s: 0.383633W, 0.767266J, total=18.932180J
49 s: 0.328009W, 0.656018J, total=19.588198J
51 s: 0.320187W, 0.640374J, total=20.228572J
54 s: 0.457763W, 0.915526J, total=21.144098J
56 s: 0.668771W, 1.337542J, total=22.481640J
58 s: 0.296562W, 0.593124J, total=23.074764J
60 s: 0.842601W, 1.685202J, total=24.759966J
62 s: 0.342531W, 0.685062J, total=25.445028J
65 s: 0.250982W, 0.501964J, total=25.946992J
67 s: 0.423497W, 0.846994J, total=26.793986J
69 s: 0.254492W, 0.508984J, total=27.302970J
71 s: 0.346520W, 0.693040J, total=27.996010J
73 s: 0.304399W, 0.608798J, total=28.604808J
76 s: 0.423600W, 0.847200J, total=29.452008J
78 s: 0.313786W, 0.627572J, total=30.079580J
80 s: 0.302428W, 0.604856J, total=30.684436J
82 s: 0.309045W, 0.618090J, total=31.302526J
84 s: 0.270502W, 0.541004J, total=31.843530J
87 s: 0.378397W, 0.756794J, total=32.600324J
89 s: 0.730618W, 1.461236J, total=34.061560J
91 s: 0.256447W, 0.512894J, total=34.574454J
93 s: 0.686894W, 1.373788J, total=35.948242J
96 s: 0.471450W, 0.942900J, total=36.891142J
98 s: 0.321623W, 0.643246J, total=37.534388J
100 s: 0.337151W, 0.674302J, total=38.208690J
102 s: 0.285687W, 0.571374J, total=38.780064J
104 s: 0.443695W, 0.887390J, total=39.667454J
107 s: 0.630651W, 1.261302J, total=40.928756J
109 s: 0.281427W, 0.562854J, total=41.491610J
111 s: 0.391620W, 0.783240J, total=42.274850J
113 s: 0.410837W, 0.821674J, total=43.096524J
115 s: 0.365893W, 0.731786J, total=43.828310J
118 s: 0.248986W, 0.497972J, total=44.326282J
120 s: 0.259436W, 0.518872J, total=44.845154J
122 s: 0.305020W, 0.610040J, total=45.455194J
124 s: 0.426068W, 0.852136J, total=46.307330J
126 s: 0.296340W, 0.592680J, total=46.900010J
129 s: 0.274863W, 0.549726J, total=47.449736J
131 s: 0.207034W, 0.414068J, total=47.863804J
133 s: 0.266221W, 0.532442J, total=48.396246J
135 s: 0.223457W, 0.446914J, total=48.843160J
137 s: 0.283793W, 0.567586J, total=49.410746J
Total Energy: 49.410746 J
