0 s: 0.087495W, 0.174990J, total=0.174990J
2 s: 0.233975W, 0.467950J, total=0.642940J
4 s: 0.201229W, 0.402458J, total=1.045398J
7 s: 0.246307W, 0.492614J, total=1.538012J
9 s: 0.317482W, 0.634964J, total=2.172976J
11 s: 0.403081W, 0.806162J, total=2.979138J
13 s: 0.223007W, 0.446014J, total=3.425152J
16 s: 0.234745W, 0.469490J, total=3.894642J
18 s: 0.200119W, 0.400238J, total=4.294880J
20 s: 0.437602W, 0.875204J, total=5.170084J
22 s: 0.369265W, 0.738530J, total=5.908614J
25 s: 0.377507W, 0.755014J, total=6.663628J
27 s: 0.223600W, 0.447200J, total=7.110828J
29 s: 0.327603W, 0.655206J, total=7.766034J
31 s: 0.436370W, 0.872740J, total=8.638774J
34 s: 0.285273W, 0.570546J, total=9.209320J
36 s: 0.342686W, 0.685372J, total=9.894692J
38 s: 0.274059W, 0.548118J, total=10.442810J
40 s: 0.688641W, 1.377282J, total=11.820092J
43 s: 0.300520W, 0.601040J, total=12.421132J
45 s: 0.340641W, 0.681282J, total=13.102414J
47 s: 0.274920W, 0.549840J, total=13.652254J
49 s: 0.285968W, 0.571936J, total=14.224190J
51 s: 0.305574W, 0.611148J, total=14.835338J
54 s: 0.463414W, 0.926828J, total=15.762166J
56 s: 0.482689W, 0.965378J, total=16.727544J
58 s: 0.248431W, 0.496862J, total=17.224406J
60 s: 0.379413W, 0.758826J, total=17.983232J
63 s: 0.300390W, 0.600780J, total=18.584012J
65 s: 0.250263W, 0.500526J, total=19.084538J
67 s: 0.283333W, 0.566666J, total=19.651204J
69 s: 0.395405W, 0.790810J, total=20.442014J
72 s: 0.472881W, 0.945762J, total=21.387776J
74 s: 0.390833W, 0.781666J, total=22.169442J
76 s: 0.264437W, 0.528874J, total=22.698316J
78 s: 0.240481W, 0.480962J, total=23.179278J
81 s: 0.319528W, 0.639056J, total=23.818334J
83 s: 0.259038W, 0.518076J, total=24.336410J
85 s: 0.412700W, 0.825400J, total=25.161810J
87 s: 0.302567W, 0.605134J, total=25.766944J
90 s: 0.312111W, 0.624222J, total=26.391166J
92 s: 0.329130W, 0.658260J, total=27.049426J
94 s: 0.249470W, 0.498940J, total=27.548366J
96 s: 0.227763W, 0.455526J, total=28.003892J
99 s: 0.319195W, 0.638390J, total=28.642282J
101 s: 0.360672W, 0.721344J, total=29.363626J
103 s: 0.213379W, 0.426758J, total=29.790384J
105 s: 0.268960W, 0.537920J, total=30.328304J
107 s: 0.293976W, 0.587952J, total=30.916256J
110 s: 0.274175W, 0.548350J, total=31.464606J
112 s: 0.283232W, 0.566464J, total=32.031070J
114 s: 0.275923W, 0.551846J, total=32.582916J
116 s: 0.237207W, 0.474414J, total=33.057330J
119 s: 0.318642W, 0.637284J, total=33.694614J
121 s: 0.389769W, 0.779538J, total=34.474152J
123 s: 0.192333W, 0.384666J, total=34.858818J
125 s: 0.283547W, 0.567094J, total=35.425912J
128 s: 0.256694W, 0.513388J, total=35.939300J
130 s: 0.313006W, 0.626012J, total=36.565312J
132 s: 0.224586W, 0.449172J, total=37.014484J
134 s: 0.268436W, 0.536872J, total=37.551356J
136 s: 0.289183W, 0.578366J, total=38.129722J
139 s: 0.168282W, 0.336564J, total=38.466286J
Total Energy: 38.466286 J
