nodo_name,pid,name_pid
nitro5,1081,mysqld
nitro5,2149,dockerd
nitro5,2228,containerd
nitro5,2535,containerd-shim
nitro5,831142,containerd
nitro5,831345,containerd-shim
nitro5,831348,containerd-shim
nitro5,831402,containerd-shim
nitro5,831408,containerd-shim
nitro5,831590,kube-apiserver
nitro5,831590,kube-apiserver
nitro5,831603,kube-controller
nitro5,831606,kube-scheduler
nitro5,831779,kubelet
nitro5,831856,containerd-shim
nitro5,831911,kube-proxy
nitro5,831911,kube-proxy
nitro5,835617,containerd-shim
nitro5,836763,calico-node
nitro5,836764,calico-node
nitro5,836766,calico-node
nitro5,836767,calico-node
nitro5,836769,calico-node
nitro5,836770,calico-node
nitro5,837099,bird6
nitro5,837100,bird
nitro5,837516,containerd-shim
nitro5,837572,kube-controller
nitro5,952014,java
nitro5,952014,java
aspire,1904,dockerd
aspire,342370,containerd-shim
aspire,342456,containerd-shim
aspire,342547,containerd-shim
aspire,342606,containerd-shim
aspire,342898,java
aspire,342898,java
aspire,343027,java
aspire,343027,java
aspire,343109,containerd-shim
aspire,343171,coredns
aspire,343445,java
aspire,343445,java
aspire,343500,mysqld
aspire,343548,mysql_tzinfo_to
aspire,343552,mysql
aspire,77475,containerd
aspire,77621,kubelet
aspire,77676,containerd-shim
aspire,77705,containerd-shim
aspire,77774,kube-proxy
aspire,77774,kube-proxy
aspire,78205,calico-node
aspire,78206,calico-node
aspire,78207,calico-node
aspire,78208,calico-node
aspire,78211,calico-node
aspire,78212,calico-node
aspire,78448,bird
aspire,78449,bird6
scorpius,228505,containerd-shim
scorpius,228608,java
scorpius,228608,java
scorpius,3136,containerd
scorpius,3326,kubelet
scorpius,3416,containerd-shim
scorpius,3422,containerd-shim
scorpius,3524,kube-proxy
scorpius,3524,kube-proxy
scorpius,3970,calico-node
scorpius,3971,calico-node
scorpius,3972,calico-node
scorpius,3973,calico-node
scorpius,3974,calico-node
scorpius,3975,calico-node
scorpius,4150,bird
scorpius,4151,bird6
leo02,278409,containerd-shim
leo02,278475,containerd-shim
leo02,278582,java
leo02,278582,java
leo02,278678,java
leo02,278678,java
leo02,279030,containerd-shim
leo02,279084,coredns
leo02,2865,containerd
leo02,3052,kubelet
leo02,3100,containerd-shim
leo02,3101,containerd-shim
leo02,3206,kube-proxy
leo02,3206,kube-proxy
leo02,3682,calico-node
leo02,3683,calico-node
leo02,3684,calico-node
leo02,3685,calico-node
leo02,3686,calico-node
leo02,3688,calico-node
leo02,3901,bird
leo02,3902,bird6
