0 s: 0.066203W, 0.132406J, total=0.132406J
3 s: 0.181907W, 0.363814J, total=0.496220J
5 s: 0.135650W, 0.271300J, total=0.767520J
7 s: 0.203639W, 0.407278J, total=1.174798J
9 s: 0.172370W, 0.344740J, total=1.519538J
11 s: 0.215042W, 0.430084J, total=1.949622J
13 s: 0.170507W, 0.341014J, total=2.290636J
15 s: 0.230014W, 0.460028J, total=2.750664J
18 s: 0.188718W, 0.377436J, total=3.128100J
20 s: 0.171993W, 0.343986J, total=3.472086J
22 s: 0.191640W, 0.383280J, total=3.855366J
24 s: 0.211207W, 0.422414J, total=4.277780J
26 s: 0.225656W, 0.451312J, total=4.729092J
28 s: 0.175526W, 0.351052J, total=5.080144J
30 s: 0.185352W, 0.370704J, total=5.450848J
33 s: 0.171415W, 0.342830J, total=5.793678J
35 s: 0.176746W, 0.353492J, total=6.147170J
37 s: 0.238682W, 0.477364J, total=6.624534J
39 s: 0.443745W, 0.887490J, total=7.512024J
41 s: 0.278459W, 0.556918J, total=8.068942J
43 s: 0.216433W, 0.432866J, total=8.501808J
46 s: 0.213960W, 0.427920J, total=8.929728J
48 s: 0.241706W, 0.483412J, total=9.413140J
50 s: 0.276732W, 0.553464J, total=9.966604J
52 s: 0.276924W, 0.553848J, total=10.520452J
54 s: 0.180988W, 0.361976J, total=10.882428J
56 s: 0.399353W, 0.798706J, total=11.681134J
59 s: 0.203140W, 0.406280J, total=12.087414J
61 s: 0.171132W, 0.342264J, total=12.429678J
63 s: 0.235138W, 0.470276J, total=12.899954J
65 s: 0.192624W, 0.385248J, total=13.285202J
67 s: 0.295959W, 0.591918J, total=13.877120J
69 s: 0.146978W, 0.293956J, total=14.171076J
71 s: 0.246309W, 0.492618J, total=14.663694J
74 s: 0.139633W, 0.279266J, total=14.942960J
76 s: 0.243265W, 0.486530J, total=15.429490J
78 s: 0.232182W, 0.464364J, total=15.893854J
80 s: 0.204283W, 0.408566J, total=16.302420J
82 s: 0.218124W, 0.436248J, total=16.738668J
84 s: 0.205737W, 0.411474J, total=17.150142J
86 s: 0.216545W, 0.433090J, total=17.583232J
89 s: 0.127251W, 0.254502J, total=17.837734J
91 s: 0.260499W, 0.520998J, total=18.358732J
93 s: 0.156864W, 0.313728J, total=18.672460J
95 s: 0.213101W, 0.426202J, total=19.098662J
97 s: 0.194998W, 0.389996J, total=19.488658J
99 s: 0.228056W, 0.456112J, total=19.944770J
102 s: 0.214729W, 0.429458J, total=20.374228J
104 s: 0.200307W, 0.400614J, total=20.774842J
106 s: 0.214259W, 0.428518J, total=21.203360J
108 s: 0.224666W, 0.449332J, total=21.652692J
110 s: 0.281247W, 0.562494J, total=22.215186J
112 s: 0.213434W, 0.426868J, total=22.642054J
115 s: 0.155058W, 0.310116J, total=22.952170J
117 s: 0.235171W, 0.470342J, total=23.422512J
119 s: 0.213015W, 0.426030J, total=23.848542J
121 s: 0.167212W, 0.334424J, total=24.182966J
123 s: 0.220662W, 0.441324J, total=24.624290J
125 s: 0.185906W, 0.371812J, total=24.996102J
128 s: 0.228955W, 0.457910J, total=25.454012J
130 s: 0.218829W, 0.437658J, total=25.891670J
132 s: 0.225852W, 0.451704J, total=26.343374J
134 s: 0.788175W, 1.576350J, total=27.919724J
136 s: 0.523921W, 1.047842J, total=28.967566J
139 s: 0.459690W, 0.919380J, total=29.886946J
141 s: 0.313734W, 0.627468J, total=30.514414J
143 s: 0.340398W, 0.680796J, total=31.195210J
145 s: 0.204716W, 0.409432J, total=31.604642J
147 s: 0.419685W, 0.839370J, total=32.444012J
Total Energy: 32.444012 J
